iter	Passed	Remaining
0	165	165452
1	167	83382
2	168	56108
3	170	42369
4	170	34002
5	171	28454
6	172	24492
7	173	21514
8	173	19139
9	174	17294
10	175	15783
11	180	14880
12	181	13799
13	183	12901
14	184	12137
15	185	11433
16	186	10797
17	187	10220
18	190	9831
19	193	9464
20	193	9041
21	195	8671
22	195	8321
23	382	15547
24	386	15069
25	512	19214
26	526	18973
27	528	18341
28	535	17942
29	536	17360
30	537	16798
31	538	16290
32	539	15796
33	544	15476
34	547	15094
35	548	14686
36	549	14303
37	550	13946
38	552	13620
39	559	13427
40	564	13209
41	566	12910
42	664	14791
43	665	14462
44	666	14146
45	685	14207
46	686	13913
47	691	13706
48	691	13422
49	692	13156
50	693	12900
51	694	12668
52	695	12422
53	696	12193
54	703	12081
55	704	11867
56	704	11660
57	705	11460
58	706	11267
59	706	11075
60	707	10894
61	708	10718
62	709	10553
63	710	10388
64	711	10229
65	717	10154
66	718	10004
67	719	9857
68	720	9715
69	720	9576
70	721	9441
71	722	9310
72	836	10628
73	838	10487
74	838	10346
75	839	10209
76	840	10075
77	841	9944
78	845	9860
79	846	9739
80	847	9618
81	848	9499
82	849	9383
83	850	9270
84	850	9160
85	851	9052
86	852	8946
87	853	8843
88	854	8742
89	854	8644
90	855	8547
91	862	8515
92	864	8426
93	864	8333
94	865	8244
95	868	8173
96	879	8192
97	882	8123
98	885	8056
99	895	8060
100	897	7992
101	923	8126
102	926	8069
103	929	8008
104	1017	8674
105	1134	9569
106	1135	9476
107	1136	9387
108	1137	9297
109	1138	9208
110	1138	9121
111	1139	9036
112	1141	8963
113	1142	8882
114	1143	8800
115	1144	8721
116	1145	8642
117	1145	8565
118	1146	8490
119	1151	8447
120	1152	8374
121	1162	8362
122	1163	8293
123	1168	8252
124	1168	8182
125	1171	8124
126	1172	8056
127	1172	7987
128	1173	7921
129	1174	7857
130	1174	7793
131	1175	7730
132	1176	7669
133	1177	7608
134	1178	7549
135	1183	7516
136	1287	8109
137	1288	8046
138	1289	7985
139	1289	7923
140	1290	7862
141	1291	7802
142	1292	7743
143	1292	7685
144	1293	7627
145	1294	7571
146	1299	7540
147	1300	7484
148	1301	7431
149	1301	7376
150	1302	7323
151	1303	7270
152	1304	7219
153	1305	7170
154	1305	7118
155	1306	7068
156	1307	7019
157	1311	6991
158	1313	6944
159	1314	6901
160	1315	6855
161	1316	6809
162	1317	6763
163	1317	6718
164	1318	6673
165	1320	6631
166	1324	6606
167	1325	6564
168	1326	6521
169	1326	6477
170	1327	6436
171	1328	6394
172	1435	6860
173	1436	6818
174	1437	6775
175	1442	6751
176	1442	6709
177	1443	6666
178	1444	6625
179	1445	6583
180	1445	6542
181	1446	6501
182	1450	6475
183	1451	6436
184	1456	6416
185	1457	6378
186	1458	6339
187	1458	6301
188	1459	6263
189	1460	6226
190	1462	6194
191	1463	6159
192	1464	6123
193	1465	6088
194	1466	6052
195	1466	6017
196	1473	6004
197	1473	5970
198	1474	5935
199	1475	5903
200	1476	5869
201	1477	5836
202	1478	5803
203	1478	5770
204	1479	5738
205	1480	5706
206	1481	5674
207	1482	5643
208	1544	5846
209	1545	5815
210	1546	5783
211	1547	5752
212	1548	5721
213	1553	5705
214	1554	5676
215	1555	5645
216	1556	5615
217	1557	5586
218	1558	5556
219	1558	5527
220	1559	5496
221	1560	5467
222	1560	5438
223	1611	5581
224	1612	5554
225	1613	5525
226	1619	5514
227	1620	5486
228	1621	5458
229	1621	5429
230	1622	5401
231	1623	5375
232	1625	5350
233	1626	5323
234	1627	5296
235	1627	5269
236	1628	5243
237	1634	5234
238	1635	5208
239	1695	5369
240	1822	5739
241	1823	5711
242	1824	5685
243	1840	5701
244	1841	5674
245	1868	5727
246	1870	5701
247	1874	5683
248	1905	5748
249	1940	5820
250	1941	5792
251	1965	5834
252	1966	5806
253	1967	5778
254	1968	5750
255	1969	5722
256	1980	5726
257	1981	5699
258	1985	5679
259	1986	5653
260	1987	5626
261	1987	5599
262	1988	5572
263	2188	6101
264	2196	6092
265	2197	6064
266	2198	6035
267	2200	6009
268	2201	5981
269	2203	5956
270	2204	5930
271	2219	5940
272	2220	5913
273	2221	5885
274	2226	5869
275	2227	5843
276	2228	5816
277	2229	5789
278	2234	5775
279	2235	5749
280	2236	5723
281	2241	5706
282	2241	5680
283	2242	5654
284	2243	5628
285	2244	5602
286	2245	5577
287	2245	5552
288	2246	5527
289	2247	5502
290	2248	5477
291	2249	5453
292	2249	5428
293	2254	5414
294	2255	5390
295	2260	5375
296	2261	5353
297	2262	5329
298	2263	5306
299	2264	5283
300	2265	5260
301	2266	5237
302	2266	5214
303	2283	5227
304	2284	5205
305	2285	5183
306	2286	5162
307	2287	5140
308	2288	5117
309	2289	5095
310	2290	5074
311	2301	5074
312	2302	5053
313	2303	5031
314	2304	5010
315	2304	4989
316	2305	4967
317	2312	4959
318	2313	4938
319	2314	4918
320	2315	4897
321	2316	4877
322	2317	4856
323	2318	4836
324	2318	4816
325	2351	4862
326	2352	4841
327	2353	4822
328	2411	4917
329	2412	4897
330	2413	4878
331	2414	4857
332	2415	4837
333	2416	4817
334	2422	4808
335	2423	4788
336	2424	4770
337	2425	4750
338	2426	4731
339	2427	4712
340	2428	4692
341	2429	4673
342	2430	4654
343	2430	4635
344	2447	4646
345	2513	4750
346	2536	4774
347	2538	4755
348	2542	4742
349	2543	4723
350	2547	4710
351	2551	4697
352	2553	4679
353	2575	4699
354	2576	4680
355	2577	4661
356	2578	4643
357	2580	4628
358	2596	4635
359	2597	4617
360	2598	4599
361	2599	4581
362	2600	4563
363	2601	4544
364	2606	4533
365	2606	4515
366	2609	4501
367	2610	4483
368	2611	4466
369	2612	4448
370	2613	4431
371	2614	4414
372	2615	4396
373	2616	4379
374	2617	4362
375	2618	4345
376	2619	4328
377	2620	4311
378	2620	4294
379	2625	4283
380	2627	4268
381	2633	4259
382	2634	4243
383	2635	4227
384	2644	4224
385	2645	4208
386	2649	4196
387	2678	4224
388	2680	4209
389	2680	4193
390	2681	4176
391	2682	4160
392	2683	4144
393	2684	4128
394	2685	4112
395	2686	4097
396	2726	4140
397	2727	4124
398	2728	4110
399	2729	4094
400	2730	4078
401	2731	4063
402	2732	4047
403	2733	4032
404	3068	4508
405	3069	4491
406	3070	4473
407	3071	4456
408	3072	4439
409	3073	4423
410	3080	4414
411	3080	4397
412	3081	4380
413	3082	4363
414	3083	4346
415	3084	4329
416	3085	4313
417	3085	4296
418	3086	4280
419	3087	4263
420	3088	4247
421	3094	4238
422	3095	4222
423	3096	4206
424	3097	4190
425	3097	4174
426	3098	4158
427	3099	4142
428	3100	4126
429	3101	4110
430	3201	4226
431	3227	4244
432	3229	4228
433	3229	4212
434	3230	4196
435	3231	4180
436	3232	4164
437	3233	4148
438	3234	4132
439	3234	4117
440	3235	4101
441	3236	4086
442	3245	4080
443	3246	4064
444	3246	4049
445	3247	4034
446	3248	4018
447	3249	4003
448	3250	3988
449	3250	3973
450	3251	3958
451	3256	3948
452	3257	3933
453	3258	3919
454	3259	3904
455	3260	3889
456	3261	3874
457	3262	3860
458	3263	3845
459	3263	3831
460	3264	3817
461	3265	3803
462	3333	3866
463	3341	3859
464	3344	3848
465	3345	3833
466	3349	3822
467	3352	3811
468	3353	3797
469	3354	3783
470	3355	3769
471	3356	3755
472	3357	3741
473	3358	3727
474	3360	3713
475	3366	3705
476	3366	3691
477	3381	3692
478	3392	3690
479	3396	3679
480	3397	3666
481	3399	3653
482	3400	3639
483	3401	3626
484	3473	3688
485	3474	3674
486	3475	3661
487	3476	3647
488	3477	3634
489	3478	3620
490	3481	3609
491	3482	3595
492	3485	3584
493	3487	3572
494	3488	3558
495	3489	3545
496	3490	3532
497	3491	3519
498	3495	3509
499	3496	3496
500	3497	3483
501	3528	3500
502	3529	3487
503	3530	3474
504	3539	3469
505	3540	3456
506	3541	3443
507	3542	3430
508	3542	3417
509	3543	3404
510	3544	3391
511	3545	3378
512	3662	3476
513	3663	3463
514	3668	3455
515	3684	3456
516	3685	3443
517	3702	3445
518	3703	3432
519	3704	3419
520	3707	3408
521	3708	3396
522	3709	3383
523	3710	3370
524	3711	3358
525	3712	3345
526	3713	3333
527	3714	3320
528	3715	3308
529	3716	3296
530	3717	3283
531	3734	3284
532	3739	3276
533	3740	3263
534	3740	3251
535	3741	3239
536	3742	3226
537	3743	3214
538	3810	3259
539	3818	3252
540	3819	3240
541	3820	3228
542	3821	3216
543	3822	3204
544	3823	3192
545	3824	3180
546	3825	3168
547	3826	3156
548	3827	3144
549	3834	3137
550	3835	3125
551	3836	3113
552	3837	3101
553	3838	3089
554	3839	3078
555	3840	3066
556	3841	3054
557	3842	3043
558	3843	3031
559	3848	3023
560	3849	3012
561	3850	3001
562	3851	2989
563	3852	2978
564	3853	2966
565	3866	2964
566	3867	2953
567	3868	2942
568	3869	2931
569	3870	2920
570	3872	2909
571	3880	2903
572	3881	2892
573	3882	2881
574	3883	2870
575	3888	2862
576	3889	2851
577	3905	2851
578	3957	2877
579	3958	2866
580	3959	2855
581	3960	2844
582	3961	2833
583	3962	2822
584	3975	2820
585	3976	2809
586	3977	2798
587	3978	2787
588	3979	2777
589	3980	2766
590	3981	2755
591	3985	2747
592	3986	2736
593	4052	2769
594	4074	2773
595	4075	2762
596	4077	2752
597	4078	2741
598	4079	2730
599	4119	2746
600	4120	2735
601	4127	2728
602	4128	2718
603	4129	2707
604	4129	2696
605	4130	2685
606	4131	2674
607	4132	2664
608	4132	2653
609	4133	2642
610	4134	2632
611	4135	2621
612	4135	2611
613	4139	2602
614	4140	2591
615	4141	2581
616	4142	2571
617	4143	2561
618	4144	2550
619	4145	2540
620	4145	2530
621	4217	2563
622	4218	2552
623	4223	2545
624	4224	2534
625	4225	2524
626	4226	2514
627	4227	2503
628	4227	2493
629	4228	2483
630	4229	2473
631	4230	2463
632	4231	2453
633	4231	2443
634	4232	2432
635	4233	2422
636	4244	2418
637	4244	2408
638	4245	2398
639	4246	2388
640	4247	2378
641	4248	2369
642	4252	2361
643	4253	2351
644	4254	2341
645	4255	2331
646	4255	2322
647	4256	2312
648	4257	2302
649	4258	2292
650	4259	2283
651	4260	2273
652	4260	2264
653	4261	2254
654	4262	2245
655	4263	2235
656	4321	2256
657	4322	2246
658	4323	2237
659	4324	2227
660	4325	2218
661	4325	2208
662	4326	2199
663	4327	2189
664	4328	2180
665	4329	2171
666	4335	2164
667	4336	2155
668	4337	2146
669	4338	2136
670	4339	2127
671	4340	2118
672	4340	2109
673	4349	2103
674	4350	2094
675	4351	2085
676	4352	2076
677	4353	2067
678	4354	2058
679	4354	2049
680	4356	2040
681	4357	2031
682	4357	2022
683	4358	2013
684	4359	2004
685	4360	1995
686	4361	1987
687	4365	1979
688	4366	1971
689	4367	1962
690	4368	1953
691	4369	1944
692	4369	1935
693	4370	1927
694	4371	1918
695	4372	1909
696	4373	1901
697	4373	1892
698	4374	1883
699	4375	1875
700	4376	1866
701	4386	1861
702	4387	1853
703	4387	1844
704	4388	1836
705	4389	1827
706	4389	1819
707	4390	1810
708	4391	1802
709	4394	1795
710	4396	1787
711	4397	1778
712	4398	1770
713	4399	1762
714	4399	1753
715	4400	1745
716	4401	1737
717	4402	1729
718	4420	1727
719	4420	1719
720	4421	1710
721	4422	1702
722	4427	1696
723	4428	1688
724	4429	1680
725	4430	1672
726	4431	1664
727	4432	1655
728	4432	1647
729	4434	1640
730	4435	1632
731	4436	1624
732	4441	1617
733	4442	1609
734	4443	1601
735	4449	1596
736	4450	1588
737	4451	1580
738	4461	1575
739	4462	1567
740	4463	1560
741	4464	1552
742	4465	1544
743	4466	1536
744	4467	1529
745	4483	1526
746	4492	1521
747	4493	1513
748	4494	1506
749	4495	1498
750	4496	1490
751	4496	1482
752	4497	1475
753	4498	1467
754	4499	1460
755	4500	1452
756	4501	1445
757	4503	1437
758	4505	1430
759	4505	1422
760	4506	1415
761	4507	1407
762	4508	1400
763	4509	1393
764	4514	1386
765	4516	1379
766	4517	1372
767	4518	1364
768	4519	1357
769	4520	1350
770	4520	1342
771	4521	1335
772	4522	1328
773	4523	1320
774	4524	1313
775	4572	1320
776	4574	1312
777	4673	1333
778	4674	1326
779	4860	1370
780	4861	1363
781	4862	1355
782	4864	1348
783	4874	1343
784	4875	1335
785	4876	1327
786	4877	1320
787	4882	1313
788	4890	1307
789	4893	1300
790	4894	1293
791	4895	1285
792	4896	1278
793	4897	1270
794	4898	1263
795	4900	1255
796	4901	1248
797	4902	1240
798	4903	1233
799	4904	1226
800	4945	1228
801	4946	1221
802	4947	1213
803	4947	1206
804	4948	1198
805	4949	1191
806	4950	1183
807	4951	1176
808	4952	1169
809	4961	1163
810	4963	1156
811	4963	1149
812	4965	1142
813	4966	1134
814	4967	1127
815	4968	1120
816	4975	1114
817	4979	1107
818	4981	1101
819	4983	1093
820	4983	1086
821	5005	1083
822	5006	1076
823	5007	1069
824	5007	1062
825	5016	1056
826	5017	1049
827	5108	1061
828	5167	1065
829	5168	1058
830	5169	1051
831	5170	1043
832	5184	1039
833	5191	1033
834	5192	1026
835	5193	1018
836	5194	1011
837	5195	1004
838	5195	997
839	5196	989
840	5224	987
841	5239	983
842	5243	976
843	5244	969
844	5244	962
845	5325	969
846	5327	962
847	5340	957
848	5343	950
849	5343	943
850	5344	935
851	5345	928
852	5346	921
853	5347	914
854	5348	906
855	5349	899
856	5349	892
857	5351	885
858	5352	878
859	5352	871
860	5353	864
861	5354	857
862	5355	850
863	5356	843
864	5357	836
865	5358	829
866	5359	822
867	5359	815
868	5361	808
869	5362	801
870	5363	794
871	5364	787
872	5365	780
873	5366	773
874	5367	766
875	5367	759
876	5368	753
877	5370	746
878	5371	739
879	5372	732
880	5373	725
881	5373	718
882	5374	712
883	5375	705
884	5376	698
885	5376	691
886	5377	685
887	5378	678
888	5388	672
889	5389	666
890	5389	659
891	5390	652
892	5391	646
893	5392	639
894	5392	632
895	5399	626
896	5400	620
897	5401	613
898	5402	606
899	5402	600
900	5403	593
901	5404	587
902	5405	580
903	5407	574
904	5409	567
905	5410	561
906	5422	556
907	5424	549
908	5425	543
909	5426	536
910	5431	530
911	5432	524
912	5433	517
913	5433	511
914	5434	504
915	5435	498
916	5436	492
917	5437	485
918	5497	484
919	5498	478
920	5499	471
921	5500	465
922	5501	458
923	5501	452
924	5502	446
925	5503	439
926	5504	433
927	5505	427
928	5505	420
929	5532	416
930	5533	410
931	5534	403
932	5534	397
933	5535	391
934	5536	384
935	5537	378
936	5538	372
937	5539	366
938	5543	360
939	5544	353
940	5546	347
941	5547	341
942	5548	335
943	5549	329
944	5550	323
945	5551	316
946	5551	310
947	5552	304
948	5553	298
949	5554	292
950	5584	287
951	5594	282
952	5595	275
953	5596	269
954	5597	263
955	5598	257
956	5599	251
957	5599	245
958	5600	239
959	5601	233
960	5602	227
961	5618	221
962	5627	216
963	5628	210
964	5629	204
965	5631	198
966	5632	192
967	5633	186
968	5643	180
969	5644	174
970	5645	168
971	5647	162
972	5648	156
973	5649	150
974	5649	144
975	5650	138
976	5651	133
977	5652	127
978	5653	121
979	5654	115
980	5655	109
981	5657	103
982	5658	97
983	5658	92
984	5659	86
985	5660	80
986	5661	74
987	5662	68
988	5663	62
989	5663	57
990	5668	51
991	5669	45
992	5670	39
993	5671	34
994	5672	28
995	5673	22
996	5674	17
997	5675	11
998	5675	5
999	5676	0
